自身免疫性胃炎	胃炎
胃窦部异位胰腺伴部分导管囊状扩张	胃内异位胰腺
右侧大量胸腔积液	胸腔积液
卵巢低级别浆液性腺癌	卵巢恶性肿瘤##浆液性腺癌
右眼玻璃体术后，硅油眼	眼术后
肺部曲毒菌病	肺曲霉菌病
右侧先髋半脱位伴OA	单侧膝关节骨性关节病##先天性单侧髋关节半脱位
脑梗死后遗症-偏瘫肢体功能康复	脑梗死后遗症##偏瘫
右足化脓性病灶切开延迟愈合	开放性损伤延期愈合##足感染
移植肾静脉狭窄	肾移植状态
复发滤泡淋巴瘤	滤泡淋巴瘤##恶性肿瘤复发
腰椎压缩性骨折L3	腰椎压缩性骨折##腰椎骨折L3
右耳极重度感音神经性听力丧失	感音神经性聋
糖尿病性胃肠植物神经病变	糖尿病性自主神经病
阴道不全纵膈	阴道纵隔
高血酯病4高血酯病	高脂血症
胸背部肌筋膜劳损	背部劳损
1宫颈鳞状细胞CAⅡb期 2高血压病	子宫颈恶性肿瘤##鳞状细胞癌##高血压
额部创伤后不愈	头部损伤##开放性损伤愈合不良
肺曲霉病(?)	肺曲霉菌病
眼睑组织炎	眼睑未特指的炎症
全身骨关节先天发育不良	骨骼发育不良
右腕部为变性坏死组织及纤维脂肪组织	脂肪坏死
甲状腺低分化鳞癌伴肺、颈淋巴结转移	甲状腺恶性肿瘤##鳞状细胞癌##颈部淋巴结继发恶性肿瘤
肝内及腹腔转移瘤	肝继发恶性肿瘤##腹腔继发恶性肿瘤##转移性肿瘤
G1P1孕41周已产LO	正常分娩
淋巴瘤白血病B细胞型	B细胞淋巴瘤
右髂动脉及股动脉支架置入术	血管支架植入术后状态
左下肢疼痛伴力弱	下肢疼痛
前列腺癌近距离治疗术后	前列腺恶性肿瘤##癌
舌静脉畸形	舌血管畸形
急性迟缓性麻痹	弛缓性瘫痪[周围性瘫痪]
热液烫伤12%浅二度8%深二度4%颈部背	躯干部烫伤
左股骨髁骨质改变左膝退变	单侧膝关节骨性关节病
耵聍堵塞	外耳道耵聍栓塞
右椎动脉管腔细小发育变异	椎动脉畸形
幼儿急疹[第六病]	幼儿急疹
乙状结肠癌术后辅助治疗，复查	结肠术后##乙状结肠恶性肿瘤##癌
右乳恶性肿瘤放疗	乳腺恶性肿瘤##恶性肿瘤放疗
神经痛胃肠性感冒	神经痛##胃肠型感冒
右肾实质萎缩并积水	肾积水##肾萎缩
腰1椎体爆裂骨折并脊髓损伤	腰椎骨折L1##腰部脊髓损伤
冠心病KippipⅡ级	冠状动脉粥样硬化性心脏病##KillipII级
放射性粘膜损伤	放射性损害
右小腿下段前内侧皮肤坏死缺失创面	下肢皮肤坏死##下肢皮肤缺损
自身免疫性疾病心脑受累	自身免疫病
前交通动脉瘤破裂	前交通动脉动脉瘤##大脑动脉瘤破裂
双眼老年性黄斑病变右眼陈旧性	老年性黄斑变性
甲状腺肿物切除	甲状腺肿物##甲状腺术后
卵圆孔未闭	卵圆孔未闭
左下肢萎缩待查反射性肌萎缩	下肢肌肉萎缩
唇部过敏	过敏反应##唇炎
右尺骨鹰嘴骨折不愈合	尺骨鹰嘴骨折
左眼视网膜剥脱失明	视网膜脱离##单眼盲
周围神经病关节变形有关	多发性神经病[多发性神经炎/周围神经炎]
鼾症伴低通气综合征	鼾症##睡眠低通气综合征
右髋关节骨折脱位	髋关节脱位##髋关节骨折
特发性点状白斑	特发性滴状色素减少症
胃窦病变伴上消化道大出血	胃和十二指肠未特指的疾病##上消化道出血
附件内膜异位症	输卵管子宫内膜异位症##卵巢子宫内膜异位症
先天性心脏病法洛四联症	先天性心脏病##法洛四联症
冠心病高血压脑梗塞结膜炎	冠状动脉粥样硬化性心脏病##高血压##脑梗死##结膜炎
乳腺浸润性导管癌Ⅱ-Ⅲ级	乳腺恶性肿瘤##浸润性导管癌
左侧膝关节放疗后	放射治疗
颈髓缺血变性C45C56水平	脊髓变性##脊髓缺血
宫颈肿瘤特殊筛选检查	宫颈肿瘤的特殊筛查
右甲状腺结节性甲状腺肿伴囊性变	结节性甲状腺肿##甲状腺囊肿
跖疣冷冻术后	掌跖疣
右腋下脂肪瘤	腋窝良性肿瘤##脂肪瘤
胎儿骨骼发育异常	骨骼发育不良
肺炎休克	肺炎##休克
小肠闭锁IIIa型并穿孔	先天性小肠闭锁##小肠穿孔
双肺下叶局限性气肿肺间质性改变同前	肺气肿
左大脑中动脉阻塞或变异	脑血管畸形
右肺下叶错构瘤	肺错构瘤
左下肺腺癌（T2N0MO Ib期）术后	肺术后##左肺下叶恶性肿瘤##腺癌
"食管胃交界癌术后,纳差"	食管胃连接部恶性肿瘤##癌##食欲不振
双侧卵巢中分化浆液-粘液混合性乳头状腺癌	卵巢恶性肿瘤##乳头状腺癌
脑梗死后出血	脑梗死##脑出血
宫腔异常回声待查节育环下移	避孕环移位
糖尿病（特病开药）	糖尿病
纵裂胆脂瘤	颅内胆脂瘤
双侧阴囊坏死左侧精索睾丸缺失	后天性阴囊缺失
右足针刺感腰椎间盘病变	椎间盘疾患
颈椎浆细胞骨髓瘤术后	颈椎恶性肿瘤##颈椎术后##浆细胞骨髓瘤
右颈部纤维脂肪病	颈部良性肿瘤##纤维脂肪瘤
左侧股骨外踝前壁内踝后壁撕脱性骨折	内踝骨折##外踝骨折##股骨骨折
胃痛肾虚	胃痛
粘液腺癌伴印戒细胞癌	粘液腺癌##印戒细胞癌
先天性软骨发育不良	软骨发育不全
食物蛋白性小肠结肠炎	蛋白质过敏病##过敏性肠炎
PANCREATICCANCER	胰腺恶性肿瘤##癌
肿瘤手术后	性质未特指的肿瘤
口服结核药物呕吐、食欲差	药物不良反应##呕吐##食欲不振
急性广泛前壁ST段抬高型心肌梗死	急性广泛前壁心肌梗死##急性ST段抬高型心肌梗死
右膝外侧半月Ⅲ裂撕轻度OA	单侧膝关节骨性关节病##膝外侧半月板撕裂
颈腰椎间盘多发性膨出	其他特指的椎间盘移位##腰椎间盘移位
食管低分化鳞状细胞癌	食管恶性肿瘤##鳞状细胞癌
面双上肢灼伤10%2度	面部开放性损伤##上肢开放性损伤
右腕蜂蜇伤	腕部损伤##蜂螫伤
室性早搏射频消融术后	室性期前收缩##心脏射频消融术后
口部外伤	口腔和咽喉部损伤
双侧颈总动脉分叉处混斑中度狭窄	颈总动脉狭窄##颈总动脉斑块
胸部枪伤	胸部开放性损伤##枪击伤
食管平滑肌瘤	平滑肌瘤##食管良性肿瘤
右足皮肤撕脱伴坏死	足部软组织撕脱伤##足坏死
心悸气短	心悸##气短
头颈肩胸损伤	肩部损伤##头部损伤##颈部损伤##胸部损伤
右股骨骨样骨瘤	骨样骨瘤##股骨良性肿瘤
运动神经功能损害	运动神经元病
不孕＼阴道霉菌	未特指的女性不孕症##真菌性阴道炎
右颈内静脉长期血透留置管破裂	血管透析导管的机械性并发症
胎盘残留伴部分胎盘植入	胎盘部分残留不伴出血##胎盘植入不伴出血
腺纤维瘤乳腺	腺纤维瘤##乳腺良性肿瘤
嗅神经母细胞瘤	嗅神经恶性肿瘤##嗅神经母细胞瘤
妊娠瘙痒闰（妊娠合并肝内胆汁淤积症）	妊娠期肝内胆汁淤积症##瘙痒症
部分导联T波改变8左房增大	心电图异常
传单反复扁桃体发炎	扁桃体炎##传染性单核细胞增多症[腺性热]
单绒毛膜双羊膜囊双胎妊娠;	双胎妊娠
炎症性关节炎	关节炎
胸膜转移癌	转移性癌##胸膜继发恶性肿瘤
右侧臂丛神经断裂	臂丛神经损伤##神经断裂
食管溃疡型中分化鳞形细胞癌	食管恶性肿瘤##鳞状细胞癌
右胫骨下段骨折24天	胫骨骨折
肘关节骨折术后	肘关节骨折##骨折术后
妊娠期B族链球菌感染	链球菌感染##妊娠状态
枕部蛰伤	昆虫咬伤
结肠平滑肌瘤	平滑肌瘤##结肠良性肿瘤
冠状动脉粥样硬化型心脏病心绞痛	冠状动脉粥样硬化性心脏病##心绞痛
子宫内膜中分化内膜样腺癌	子宫内膜恶性肿瘤##子宫内膜样腺癌
胎儿左右左心室内强光点	妊娠状态
肩关节滑膜炎	肩关节滑囊炎
胸膜继发癌	继发性癌##胸膜继发恶性肿瘤
前庭周围神经性病变	多发性神经病[多发性神经炎/周围神经炎]
剖宫产术后宫内早孕	剖宫产史的妊娠
右膝髂胫束断裂	"下肢未特指的损伤,水平未特指"
"尿毒症;肾性贫血;肾性高血压,透析中低血压"	尿毒症##肾性贫血##肾性高血压##O
高血压肾病便秘	高血压性肾病##便秘
"阴道恶性黑色素瘤扩切术后,局部复发术后"	恶性黑色素瘤##阴道恶性肿瘤##恶性肿瘤复发
距肛门55cm结肠管状腺瘤Ⅱ级	结肠良性肿瘤##管状腺瘤
右肺癌化疗后伽玛刀治疗后	右肺恶性肿瘤##化学治疗##癌##恶性肿瘤放疗
右腕劳损	累及上肢多个部位的脱位、扭伤和劳损
左侧枕部硬膜下积血积气	颅内积气[气颅症]##硬脑膜下积液
送检左肩冈上肌显坏死伴广泛钙盐沉积	钙质沉着症
胆囊息肉并胆囊炎	胆囊息肉##胆囊炎
叶酸缺乏症	叶酸缺乏
颈动脉狭窄(支架置入术后)	周围血管支架植入术后状态##颈动脉狭窄
冠心病急性心肌梗死肾功能不全	冠状动脉粥样硬化性心脏病##急性心肌梗死##肾功能不全
坠落伤右肱骨开放性骨折伴脱位	自高处坠落##上肢开放性骨折##肱骨骨折
克罗恩病（结肠型）	结肠克罗恩病
食管胃底静脉重度曲张	胃底静脉曲张##食管静脉曲张
糖尿病性周围神经病变;多发性神经炎	糖尿病性周围神经病##多发性神经病[多发性神经炎/周围神经炎]
右肺鳞状细胞癌	右肺恶性肿瘤##鳞状细胞癌
心律失常心房纤颤频发室性早搏	心律失常##心房颤动[心房纤颤]##频发性室性期前收缩
静脉化疗治疗	化学治疗
垂体腺瘤伴出血	垂体良性肿瘤##垂体腺瘤##肿瘤伴出血
"2型糖尿病,甲状腺腺瘤"	2型糖尿病##甲状腺良性肿瘤##腺瘤
右侧三叉神经鞘瘤	神经鞘瘤##三叉神经良性肿瘤
房间隔缺损介入封堵术后	心脏介入封堵术后状态
腰2椎体良性病变	腰椎病
多囊肾并出血	先天性多囊肾##肾出血
骨关节病双膝关节置换术后	双侧膝关节骨性关节病##人工关节术后
子宫出血，系统性红斑狼疮，中度贫血	异常子宫出血##系统性红斑狼疮##中度贫血
性交痛	性交疼痛
左室轻度扩大肺动脉增宽	左室扩大
右手中指鹅颈畸形	指天鹅颈状变形
左肾盂及上段输尿管扩张积水，左侧输尿管盆腔段狭窄	输尿管扩张##肾盂扩张##输尿管积水##输尿管狭窄
急性GVHD（肠道）可能性大	急性移植物抗宿主病
肝胆管细胞癌术后 梗阻性黄疸	胆道术后##肝胆管恶性肿瘤##肝胆管细胞癌##梗阻性黄疸
慢性风湿性心脏瓣膜疾病	瓣膜未特指的风湿性心内膜疾病
胃窦贲门增生性息肉	贲门息肉##胃息肉
高纤维蛋白原血症21低高密度脂蛋白血症	高纤维蛋白原血症##高密度脂蛋白缺乏
先天性颅裂枕部脑膜膨出	先天性脑膜膨出
慢性肾脏病急性加重透析状态	慢性肾病##肾脏透析状态
双下肢肌肉炎症	肌炎
呼吸道感染（过敏性咳嗽）	呼吸道感染##咳嗽
停经146周B超提示胎儿后颈部多枚囊性	妊娠状态
右腕豌豆骨撕脱性骨折并半脱位可疑	腕骨骨折##腕关节半脱位
慢性移植物抗宿主反应病肝脏口腔皮肤胃肠道	慢性移植物抗宿主病
右乳恶性肿瘤的支持治疗	乳腺恶性肿瘤##恶性肿瘤支持治疗
胃溃疡浸润型印戒细胞癌	胃恶性肿瘤##印戒细胞癌
"锁骨骨折(右侧,术后)"	锁骨骨折##骨折术后
低钾低钠待查过敏性性休克致	低钾血症##低钠血症##过敏性休克
右尺侧腕屈肌腱损伤	腕和手指屈肌腱损伤
右额叶病灶SRS放疗后	放射治疗
白血病骨髓移植术后	骨髓移植术后##白血病
(GMXS)慢性肾脏病，ckd5期	"慢性肾脏病,5期"
进食吞咽梗阻胃镜提示食管上段胃黏膜异位	吞咽障碍
右侧输尿管闭锁	先天性输尿管闭锁
克罗恩氏病贯通型轻度回结肠受累	回肠克罗恩病
功能性肠病肠易激综合症伴焦虑状态	肠易激综合征##焦虑状态
先天性腭裂伴有唇裂	先天性唇腭裂
右肺中叶肺癌	右肺中叶恶性肿瘤##癌
胎儿13-三体型综合征	13-三体综合征[Patau综合征]
(E11.900)2型糖尿病双眼糖尿病视网膜病变	2型糖尿病##2型糖尿病性视网膜病变
胃贲门中低分化腺癌IIIC期术后(pT4bN3aM0)	贲门术后##贲门恶性肿瘤##腺癌
腰椎间盘腰45椎腰5骶1椎突出继发椎	腰椎间盘突出
左侧额窦筛窦新生物	额窦息肉##筛窦息肉
外周T细胞淋巴肿瘤	外周T细胞淋巴瘤(非特指型)
右小腿外侧血管瘤	血管瘤
房室阻滞	房室传导阻滞
右髋股撞击症右盂唇撕裂	髋关节撞击综合征##髋部损伤
4慢性肺心病心功能3级	慢性肺源性心脏病##心功能III级(NYHA分级)
胃炎、胃息肉？	胃炎##胃息肉
(胎儿胼胝体缺如)	胼胝体发育不全
双侧枕叶散在小缺血梗塞陈旧性	陈旧性脑梗死
WHO肺高压心功能III级	肺动脉高压##心功能III级(NYHA分级)
右足跟部皮肤软组织脱套伤	足部套脱伤
右半结肠回盲部腺癌	回盲部恶性肿瘤##腺癌
产后乳汁自出	乳溢
右颞顶骨大面积粉凹陷性碎性骨折	颅骨骨折
弥漫性大细胞恶性淋巴瘤	弥漫大B细胞淋巴瘤##弥漫性大B细胞恶性淋巴瘤
面部癌	面部恶性肿瘤##癌
右肺周围型中分化腺癌	右肺恶性肿瘤##腺癌
头部疤痕性秃发	瘢痕性脱发[瘢痕性毛发缺失]
真菌性眼内炎	感染性眼内炎
阴茎根部Bowen氏病	鲍恩病##阴茎恶性肿瘤
关节肿大待查粘多糖病	关节肿胀##粘多糖贮积病
粒缺伴发热	粒细胞缺乏##发热
左房左室肥大左室舒张功能减退	心房肥大##心室肥大
C12病变并髓核压迫症	脊髓压迫症
右手掌疤痕组织挛缩伴肌腱粘连	瘢痕挛缩##瘢痕性肌腱粘连
醛固酮过多症	醛固酮增多症
侵及子宫后壁及双侧肛提肌	子宫继发恶性肿瘤
乏力，纳差，恶心，胸闷，心梗可能	乏力##食欲不振##恶心##胸闷##O
原发性皮质增多症Cushing病可能性大	皮质醇增多症[库欣综合征]
新生儿反应弱肌张力弱原因待查	新生儿未特指的肌张力疾患
右耳中度混合性聋左耳高频中度感音神经性聋	单侧混合性聋##单侧感音神经性聋
胆道取石术后	胆石症##胆道术后
发热肺部感染头晕脑出血后遗症	发热##肺部感染##头晕##脑出血后遗症
齿状突骨不连伴不全瘫	骨折不连接[假关节]##不完全性瘫痪
左眼黄斑劈裂伴视网膜浅脱离	视网膜劈裂症##视网膜脱离
肠系膜血管病-肠管坏死	肠坏死
颈56椎体左侧异常信号影	其他特指身体结构诊断性影像检查的异常所见
宫颈恶性肿瘤第一次化疗	子宫颈恶性肿瘤##化学治疗
自身免疫性疾病抗AMA-M2抗体阳性	自身免疫病
腹水症严重肝病	腹水##未特指的肝病
额面鼻外伤性疤痕左内眦韧带断裂移位	额部瘢痕##鼻部瘢痕##内眦移位
右膝髌上髌内侧滑膜皱襞综合征	膝关节滑膜皱襞综合征
"小细胞肺癌晚期化疗,水肿利尿便秘食欲减退,肝功能损害肺部感染,咳嗽行动不便疼痛"	肺恶性肿瘤##小细胞癌##化学治疗##水肿##便秘##食欲不振##肝功能异常##肺部感染##咳嗽##疼痛
心律失常高血压肿瘤冠心病脑血管病	心律失常##高血压##性质未特指的肿瘤##冠状动脉粥样硬化性心脏病##脑血管病
左上肢末梢神经、C6神经干电击伤	电击伤##上肢神经损伤##脊神经损伤
右侧胫骨上端骨折	胫骨上端骨折
血管斑痣	血管痣
"非霍奇金淋巴瘤，NK/T细胞淋巴瘤,侵及左鼻腔及副鼻窦,鼻咽镜检查活检，局麻预防出血,化疗后骨髓抑制，白细胞减低,关节痛"	非霍奇金淋巴瘤##O##鼻腔继发恶性肿瘤##鼻窦继发恶性肿瘤##化疗后骨髓抑制##白细胞减少##关节痛##转移性肿瘤
鼻咽占位待查	面部占位
左手小指甲床破裂指甲脱落	甲脱离
左小腿浅静脉血栓，软组织挫伤	下肢静脉血栓形成
食道高-中分化鳞癌粒子植入术后	食管术后##食管恶性肿瘤##鳞状细胞癌##恶性肿瘤放射性粒子置入治疗
右肺癌靶向治疗	右肺恶性肿瘤##恶性肿瘤靶向治疗##癌
胰腺肿瘤囊腺瘤	囊腺瘤##胰腺良性肿瘤
下肢胫前皮肤色素沉着	色素沉着未特指的疾患
男性功能减退	"未特指的性功能障碍,非由器质性障碍或疾病引起"
右上睑部分缺损伴闭合不全	眼睑闭合不全[兔眼]
胃窦隆起糜烂异位胰腺	胃内异位胰腺##糜烂性胃炎
胃窦隆起病变内镜粘膜下剥离术	胃术后##胃和十二指肠未特指的疾病
皮肤软组织挫伤	皮肤挫伤
支气管扩张症继发感染	支气管扩张症合并感染
左足第4趾部分坏死左足背皮肤缺损	足坏死##皮肤缺损
右眼人工晶体眼；右眼角膜白斑	人工晶体植入状态##角膜白斑
妊娠合并B族链球菌感染	链球菌感染##妊娠状态
肾脏发育异常	肾发育不全
车祸伤，左踝、足外伤	踝部损伤##足部损伤
突发特发性听觉减退左耳	突发性聋
CGD-MSD-BMT移植后4月	造血干细胞移植状态
化疗后肝功能下降	化疗药物反应##肝功能异常
1型糖尿病性植物神经病	1型糖尿病性自主神经病
右侧甲状腺结节性甲肿伴囊性变	结节性甲状腺肿##甲状腺囊肿
右腹股沟皮脂腺囊肿	皮脂腺囊肿
慢性心功能衰竭急性发作全心增大	慢性心力衰竭
糖尿病高血压并脑损害心脏损害	糖尿病##高血压##未特指的脑病##心脏损伤
1空蝶鞍2脑缺血脱髓鞘	脱髓鞘性脑病##脑血管供血不足
急性髓细胞白血病（CR）化疗	急性髓细胞白血病##化学治疗
